contestant_id,season_number,contestant_entrance,contestant_name,age,hometown_city,hometown_state,season_outcome,handle_instagram,handle_twitter
1,1,1,Shannel,29,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial
2,1,2,Nina Flowers,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers
3,1,3,Rebecca Glasscock,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc
4,1,4,Ongina,26,Los Angeles,California,5,ongina,ongina
5,1,5,Victoria Porkchop Parker,39,Raleigh,North Carolina,9,porkchopla,PorkChopLA ‏
6,1,6,Akashia,24,Cleveland,Ohio,7,akashiadrag,DragAkashia
7,1,7,Tammie Brown,29,Long Beach,California,8,planettammie,thetammiebrown
8,1,8,Jade,25,Chicago,Illinois,6,jadesotomayor,SotomayorJade
9,1,9,BeBe Zahara Benet,28,Minneapolis,Minnesota,1,bebezahara,BeBeZaharaBenet
10,2,1,Nicole Paige Brooks,36,Atlanta,Georgia,11,nicolepaigebrooks,nicolepbrooks
11,2,2,Shangela Laquifa Wadley,28,Los Angeles,California,12,itsshangela,itsSHANGELA
12,2,3,Raven,30,Riverside,California,2,itsravenhunty_,RavenHUNTY
13,2,4,Jujubee,25,Boston,Massachusetts,3,jujubeeonline,jujuboston
14,2,5,Sahara Davenport,25,New York,New York,7,,
15,2,6,Morgan McMichaels,28,Mira Loma,California,8,morganmcmichaels,morganmcmichael
16,2,7,Mystique Summers Madison,25,Bedford,Texas,10,mystiquesummers,MystiqueSummers
17,2,8,Jessica Wild,29,San Juan,Puerto Rico,6,jessicawild88,JessicaWild88
18,2,9,Sonique,26,Atlanta,Georgia,9,xosonique,xoSonique
19,2,10,Tatianna,21,Falls Church,Virginia,4,tatiannagram,TATIANNANOW
20,2,11,Pandora Boxx,37,Rochester,New York,5,pandoraboxx,ThePandoraBoxx
21,2,12,Tyra Sanchez,21,Orlando,Florida,1,,
22,3,1,Delta Work,34,Norwalk,California,7,deltawork,
23,3,2,Carmen Carrera,25,Elmwood Park,New Jersey,5,carmen_carrera,Carmen_Carrera
24,3,3,Phoenix,29,Atlanta,Georgia,12,phoenix_atl,Phoenix_atl
25,3,4,Manila Luzon,28,New York,New York,2,manilaluzon,manilaluzon
26,3,5,Stacy Layne Matthews,25,Back Swamp,North Carolina,8,stacylmatthews,StacyLMatthews
27,3,6,Venus D-Lite,26,Los Angeles,California,13,venusdlitemadonna,venusdlite
28,3,7,Yara Sofia,26,Manati,Puerto Rico,4,yarasofiapr,yarasofiapr
29,3,8,Mariah,29,Atlanta,Georgia,9,mug4dayz,mug4dayz
30,3,9,Alexis Mateo,30,St. Petersburg,Florida,3,miss_alexis_mateo,alexismateo79
31,3,10,India Ferrah,23,Dayton,Ohio,10,indiaferrah,Indiaferrah
32,3,11,Mimi Imfurst,27,New York,New York,11,mimiimfurst,
33,3,12,Raja,36,Los Angeles,California,1,sutanamrull,sutanamrull
34,3,13,Shangela,29,Los Angeles,California,6,itsshangela,itsSHANGELA
35,4,1,Willam,29,Los Angeles,California,7,willam,willam
36,4,2,Lashauwn Beyond,21,Fort Lauderdale,Florida,12,lashauwnbeyond,LashauwnBeyond
37,4,3,Jiggly Caliente,30,Queens,New York,8,jigglycalienteofficial,JigglyCaliente
38,4,4,Phi Phi O'Hara,25,Chicago,Illinois,2,phiphiohara,PhiPhiOhara
39,4,5,Madame LaQueer,29,Carolina,Puerto Rico,10,ditisnietmilan,MadameLaQueer
40,4,6,Milan,36,New York,New York,9,,
