season_number,episode_number,contestant_id,episode_placement
1,1,9,SAFE
1,1,2,WIN
1,1,3,LOW
1,1,1,SAFE
1,1,4,HIGH
1,1,8,SAFE
1,1,6,BTM2
1,1,7,SAFE
1,1,5,ELIM
1,2,9,SAFE
1,2,2,HIGH
1,2,3,HIGH
1,2,1,HIGH
1,2,4,WIN
1,2,8,SAFE
1,2,6,BTM2
1,2,7,ELIM
1,3,9,WIN
1,3,2,HIGH
1,3,3,SAFE
1,3,1,BTM2
1,3,4,HIGH
1,3,8,LOW
1,3,6,ELIM
1,4,9,HIGH
1,4,2,HIGH
1,4,3,BTM2
1,4,1,LOW
1,4,4,WIN
1,4,8,ELIM
1,5,9,BTM2
1,5,2,LOW
1,5,3,WIN
1,5,1,HIGH
1,5,4,ELIM
1,6,9,WIN
1,6,2,HIGH
1,6,3,BTM2
1,6,1,ELIM
1,8,9,Winner
1,8,2,Runner-up
1,8,3,Eliminated
1,9,9,Guest
1,9,2,Miss C
1,9,3,Guest
1,9,1,Guest
1,9,4,Guest
1,9,8,Guest
1,9,6,Guest
1,9,7,Guest
1,9,5,Guest
2,1,21,HIGH
2,1,12,SAFE
2,1,13,SAFE
2,1,19,SAFE
2,1,20,HIGH
2,1,17,SAFE
2,1,14,BTM2
2,1,15,WIN
2,1,18,SAFE
2,1,16,LOW
2,1,10,SAFE
2,1,11,ELIM
2,2,21,HIGH
2,2,12,BTM2
2,2,13,HIGH
2,2,19,SAFE
2,2,20,SAFE
2,2,17,HIGH
2,2,14,WIN
2,2,15,SAFE
2,2,18,LOW
2,2,16,HIGH
2,2,10,ELIM
2,3,21,WIN
2,3,12,BTM2
2,3,13,SAFE
2,3,19,SAFE
2,3,20,HIGH
2,3,17,HIGH
2,3,14,SAFE
2,3,15,SAFE
2,3,18,SAFE
2,3,16,ELIM
2,4,21,SAFE
2,4,12,SAFE
2,4,13,LOW
2,4,19,WIN
2,4,20,HIGH
2,4,17,SAFE
2,4,14,SAFE
2,4,15,BTM2
2,4,18,ELIM
2,5,21,WIN
2,5,12,HIGH
2,5,13,HIGH
2,5,19,SAFE
2,5,20,LOW
2,5,17,HIGH
2,5,14,BTM2
2,5,15,ELIM
2,6,21,LOW
2,6,12,HIGH
2,6,13,BTM2
2,6,19,SAFE
2,6,20,HIGH
2,6,17,WIN
2,6,14,ELIM
2,7,21,HIGH
2,7,12,WIN
2,7,13,HIGH
2,7,19,BTM2
2,7,20,LOW
2,7,17,ELIM
2,8,21,HIGH
2,8,12,WIN
2,8,13,BTM2
2,8,19,HIGH
2,8,20,ELIM
2,9,21,WIN
2,9,12,HIGH
2,9,13,BTM2
2,9,19,ELIM
2,11,21,Winner
2,11,12,Runner-up
2,11,13,Eliminated
2,12,21,Guest
2,12,12,Guest
2,12,13,Guest
2,12,19,Guest
2,12,20,Miss C
2,12,17,Guest
2,12,14,Guest
2,12,15,Guest
2,12,18,Guest
2,12,16,Guest
2,12,10,Guest
2,12,11,Guest
3,2,33,WIN
3,2,25,HIGH
3,2,30,SAFE
3,2,28,SAFE
3,2,23,LOW
3,2,34,BTM2
3,2,22,SAFE
3,2,26,SAFE
3,2,29,SAFE
3,2,31,SAFE
3,2,32,HIGH
3,2,24,SAFE
3,2,27,ELIM
3,3,33,SAFE
3,3,25,SAFE
3,3,30,WIN
3,3,28,HIGH
3,3,23,LOW
3,3,34,WIN
3,3,22,BTM2
3,3,26,HIGH
3,3,29,HIGH
3,3,31,SAFE
3,3,32,HIGH
3,3,24,ELIM
3,4,33,SAFE
3,4,25,SAFE
3,4,30,WIN
3,4,28,HIGH
3,4,23,SAFE
3,4,34,SAFE
3,4,22,SAFE
3,4,26,HIGH
3,4,29,LOW
3,4,31,BTM2
3,4,32,ELIM
3,5,33,SAFE
3,5,25,WIN
3,5,30,SAFE
3,5,28,SAFE
3,5,23,SAFE
3,5,34,HIGH
3,5,22,SAFE
3,5,26,BTM2
3,5,29,LOW
3,5,31,ELIM
3,6,33,HIGH
3,6,25,SAFE
3,6,30,HIGH
3,6,28,LOW
3,6,23,SAFE
3,6,34,SAFE
3,6,22,BTM2
3,6,26,WIN
3,6,29,ELIM
3,7,33,WIN
3,7,25,HIGH
3,7,30,BTM2
3,7,28,HIGH
3,7,23,LOW
3,7,34,LOW
3,7,22,HIGH
3,7,26,ELIM
3,8,33,HIGH
3,8,25,BTM2
3,8,30,SAFE
3,8,28,HIGH
3,8,23,HIGH
3,8,34,WIN
3,8,22,ELIM
3,9,33,LOW
3,9,25,LOW
3,9,30,WIN
3,9,28,BTM2
3,9,23,BTM2
3,9,34,SAFE
3,10,33,WIN
3,10,25,HIGH
3,10,30,LOW
3,10,28,SAFE
3,10,23,ELIM
3,10,34,BTM2
