contestant_id,season_number,episode_number,episode_placement
150,12,1,TOP2
151,12,1,SAFE
148,12,1,HIGH
149,12,1,LOW
147,12,1,WIN
145,12,1,HIGH
146,12,1,LOW
156,12,2,WIN
154,12,2,TOP2
155,12,2,HIGH
157,12,2,HIGH
152,12,2,LOW
153,12,2,LOW
156,12,3,SAFE
150,12,3,SAFE
151,12,3,LOW
154,12,3,WIN
148,12,3,HIGH
149,12,3,HIGH
147,12,3,SAFE
155,12,3,SAFE
145,12,3,SAFE
157,12,3,SAFE
146,12,3,BTM2
152,12,3,SAFE
153,12,3,ELIM
156,12,4,HIGH
150,12,4,WIN
151,12,4,SAFE
154,12,4,SAFE
148,12,4,SAFE
149,12,4,SAFE
147,12,4,SAFE
155,12,4,SAFE
145,12,4,BTM2
157,12,4,LOW
146,12,4,HIGH
152,12,4,ELIM
156,12,5,SAFE
150,12,5,HIGH
151,12,5,SAFE
154,12,5,WIN
148,12,5,HIGH
149,12,5,BTM2
147,12,5,HIGH
155,12,5,HIGH
145,12,5,LOW
157,12,5,HIGH
146,12,5,ELIM
156,12,6,SAFE
150,12,6,WIN
151,12,6,LOW
154,12,6,HIGH
148,12,6,HIGH
149,12,6,SAFE
147,12,6,SAFE
155,12,6,SAFE
145,12,6,BTM2
157,12,6,ELIM
156,12,7,SAFE
150,12,7,WIN
151,12,7,HIGH
154,12,7,SAFE
148,12,7,LOW
149,12,7,BTM2
147,12,7,SAFE
155,12,7,HIGH
145,12,7,ELIM
156,12,8,HIGH
150,12,8,LOW
151,12,8,HIGH
154,12,8,LOW
148,12,8,HIGH
149,12,8,WIN
147,12,8,BTM2
155,12,8,ELIM
156,12,9,WIN
150,12,9,LOW
151,12,9,HIGH
154,12,9,SAFE
148,12,9,BTM2
149,12,9,HIGH
147,12,9,ELIM
156,12,10,WIN
150,12,10,SAFE
151,12,10,HIGH
154,12,10,HIGH
148,12,10,BTM2
149,12,10,BTM2
156,12,11,BTM2
150,12,11,SAFE
151,12,11,WIN
154,12,11,LOW
148,12,11,HIGH
149,12,11,ELIM
156,12,12,HIGH
150,12,12,WIN
151,12,12,BTM2
154,12,12,DISQ
148,12,12,ELIM
156,12,13,Guest
150,12,13,Guest
151,12,13,Guest
148,12,13,Guest
149,12,13,Guest
147,12,13,Guest
155,12,13,Guest
145,12,13,Guest
157,12,13,Guest
146,12,13,Guest
152,12,13,Guest
153,12,13,Guest
156,12,14,Winner
150,12,14,Runner-up
151,12,14,Runner-up
148,12,14,Guest
149,12,14,Miss C
147,12,14,Guest
155,12,14,Guest
145,12,14,Guest
157,12,14,Guest
146,12,14,Guest
152,12,14,Guest
153,12,14,Guest
9,1,1,SAFE
2,1,1,WIN
3,1,1,LOW
1,1,1,SAFE
4,1,1,HIGH
8,1,1,SAFE
6,1,1,BTM2
7,1,1,SAFE
5,1,1,ELIM
9,1,2,SAFE
2,1,2,HIGH
3,1,2,HIGH
1,1,2,HIGH
4,1,2,WIN
8,1,2,SAFE
6,1,2,BTM2
7,1,2,ELIM
9,1,3,WIN
2,1,3,HIGH
3,1,3,SAFE
1,1,3,BTM2
4,1,3,HIGH
8,1,3,LOW
6,1,3,ELIM
